,,comparisons,comparisons,inserts,inserts,lookups,lookups,deletes,deletes,structural_ops,structural_ops
,,mean,std,mean,std,mean,std,mean,std,mean,std
data_structure,workload,,,,,,,,,,
bst,A,786087.5,779555.99,9000.0,8205.69,9000.0,8205.69,0.0,0.0,8582.25,7831.04
bst,B,376099311.0,526107698.2,9000.0,8205.69,9000.0,8205.69,0.0,0.0,8582.25,7831.04
bst,C,319955.0,318244.61,4500.0,4102.84,9060.25,8229.89,4441.25,4078.65,8937.75,8180.0
bst,D,2684252.75,2645633.61,9000.0,8205.69,45000.0,41028.45,0.0,0.0,8582.25,7831.04
ht,A,1231059.25,1718047.67,9000.0,8205.69,9000.0,8205.69,0.0,0.0,8582.25,7831.04
ht,B,1248675.25,1742526.79,9000.0,8205.69,9000.0,8205.69,0.0,0.0,8582.25,7831.04
ht,C,12052.25,11731.09,4500.0,4102.84,9058.75,8229.97,4441.25,4078.65,8937.75,8180.0
ht,D,5959727.5,8331449.47,9000.0,8205.69,45000.0,41028.45,0.0,0.0,8582.25,7831.04
ll,A,125427961.5,175462453.61,9000.0,8205.69,18000.0,16411.38,0.0,0.0,8582.25,7831.04
ll,B,122576475.5,171553217.53,9000.0,8205.69,18000.0,16411.38,0.0,0.0,8582.25,7831.04
ll,C,589226.75,589571.51,4500.0,4102.84,13558.75,12332.8,4441.25,4078.65,8937.75,8180.0
ll,D,603019252.25,843559717.6,9000.0,8205.69,54000.0,49234.13,0.0,0.0,8582.25,7831.04
sas,A,234881.75,230750.8,9000.0,8205.69,9000.0,8205.69,0.0,0.0,4870987.5,6629522.5
sas,B,236514.25,232145.38,9000.0,8205.69,9000.0,8205.69,0.0,0.0,10.0,2.16
sas,C,198992.5,198096.79,4500.0,4102.84,9058.75,8229.97,4441.25,4078.65,1324880.0,1802189.79
sas,D,750245.75,734244.41,9000.0,8205.69,45000.0,41028.45,0.0,0.0,4870987.5,6629522.5
